Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
120-01,Бляха ЗСУ латунь,,,r,85.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/0/katalog-Bljaha_ZSU_latun-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/blyakhi-pryazhki-remnyam/blyaha-zsu-latun,120-01,,,9004,,,,,,
1495-01,Нашивка на грудь группа крови 3- желтый электрик,,,r,3.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/5/katalog-S73F1584-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-gruppa-krovi-3-geltyj-elektrik-1495,1495-01,,,9005,,,,,,
883-01,"Курсовка белая на черном, 3 курс",,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/3/katalog-Kursovka_chb_3k-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/kursovka-belaya-na-chernom-3-kurs,883-01,,,9005,,,,,,
686-01,Флажок общевойсковой,,,r,3.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/6/katalog-Flazhok_obwevojskovoj-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/flagok-obschevojskovoj,686-01,,,9005,,,,,,
364-01,Нашивка на спину БАРС,,,r,16.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-Nashivka_spina_BARS-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-spinu-bars,364-01,,,9005,,,,,,
1428-01,Нашивка на грудь МНС бордовая с крестом,,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/8/katalog-S73F1512-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-mns-bordovaya-s-krestom,1428-01,,,9005,,,,,,
656-01,Кокарда МВД темно-синяя,,,r,5.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/6/katalog-Kokarda_MVD_temnosinjaja-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/kokarda-mvd-temno-sinyaya,656-01,,,9005,,,,,,
246-01,маска феска комуфляжная белая ночь,,,r,45.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/6/katalog-S73F0614-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/golovnoy-ubor/maska-feska-komuflyagnaya-belaya-noch,246-01,,,9007,,,,,,
300-01,Галстук МВД Габардин черный,,,r,30.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/0/katalog-S73F0475-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/galstuki/galstuk-mvd-gabardin-chernyj,300-01,,,9006,,,,,,
94-01,Аксельбант ДМБ белый,,,r,100.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-kofe-950x800-product_popup.jpg,+,,,,,,,,,,http://armyshop.net.ua/katalog/akselbanty/akselbant-dmb-belyj,94-01,,,9002,,,,,,
1436-01,Нашивка на грудь вооруженные силы Украины черная,,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/6/katalog-S73F1525-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-voorugennye-sily-ukrainy-chernaya,1436-01,,,9005,,,,,,
387-01,Нашивка на спину ТИГР,,,r,16.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/7/katalog-Nashivka_spina_TIGR-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-spinu-tigr,387-01,,,9005,,,,,,
337-01,Медаль За заслуги в борьбе с международным терроризмом,,,r,200.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/7/katalog-Medal_Za_zaslugi_v_borbe_s_mezhdunarodnym_terrorizmom-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/medali/medal-za-zaslugi-v-borbe-s-megdunarodnym-terrorizmom,337-01,,,9010,,,,,,
254-01,фуражка СБУ в сборе шитая,,,r,330.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-S73F0625-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/golovnoy-ubor/furagka-sbu-v-sbore-shitaya,254-01,,,9007,,,,,,
1648-01,"Нашивка ""Міліція"" 9х4см дубок",,,r,5.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/8/katalog-IMAG0126-950x800-product_popup.jpg,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-militsiya-9h4sm-dubok,1648-01,,,9005,,,,,,
2057-01,Шапка вязаная с флисом / Отворотом,,,r,65.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/img_5315-950x800-product_popup.jpg,+,,,,,,,,,,http://armyshop.net.ua/index.php?route=product/product&path=59_65&product_id=2057,2057-01,,,9007,,,,,,
1444-01,Нашивка на грудь сухопутные войска комуфлированая,,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-S73F1533-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-suhoputnye-vojska-komuflirovanaya,1444-01,,,9005,,,,,,
1808-01,Жетон + цепочка Спаси и сохрани,,,r,30.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/8/katalog-IMG_2391-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/zhetoni/geton-tsepochka-spasi-i-sohrani,1808-01,,,9008,,,,,,
226-01,"бейсболка темно-синяя, черная",,,r,60.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/6/katalog-S73F0587-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/golovnoy-ubor/bejsbolka-temno-sinyaya-chernaya,226-01,,,9007,,,,,,
1262-01,"Значок подкова, логистика Украина",,,r,20.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/2/katalog-Znachok_podkova_logistika_Ukraina-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/znachki/znachok-podkova-logistika-ukraina,1262-01,,,9009,,,,,,
122-01,Пряжка парадная золото,,,r,65.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/2/katalog-Prjazhka_paradnaja_zoloto-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/blyakhi-pryazhki-remnyam/pryagka-paradnaya-zoloto,122-01,,,9004,,,,,,
365-01,Нашивка на спину БЕЗПЕКА,,,r,16.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/5/katalog-Nashivka_spina_BEZPEKA-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-spinu-bezpeka,365-01,,,9005,,,,,,
1501-01,Нашивка на грудь группа крови 3- зелено желтая,,,r,3.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/1/katalog-S73F1598-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-gruppa-krovi-3-zeleno-geltaya-1501,1501-01,,,9005,,,,,,
687-01,Флажок Прокуратуры,,,r,3.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/7/katalog-Flazhok_prokuratury-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/flagok-prokuratury,687-01,,,9005,,,,,,
1431-01,Нашивка на грудь МНС комуфлированая с крестом,,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/1/katalog-S73F1516-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-mns-komuflirovanaya-s-krestom,1431-01,,,9005,,,,,,
884-01,"Курсовка белая на черном, 4 курс",,,r,6.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-Kursovka_chb_4k-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/kursovka-belaya-na-chernom-4-kurs,884-01,,,9005,,,,,,
646-01,Кокарда Милиция,,,r,5.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/6/katalog-Kokarda_milicija-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/kokarda-militsiya,646-01,,,9005,,,,,,
318-01,Галстук МВД черный женский,,,r,30.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/8/katalog-S73F0494-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/galstuki/galstuk-mvd-chernyj-genskij,318-01,,,9006,,,,,,
95-01,Аксельбант ДМБ белый с цепью,,,r,110.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/5/katalog-Akselbant_DMB_belyj_cep-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/akselbanty/akselbant-dmb-belyj-s-tsepyu,95-01,,,9002,,,,,,
245-01,маска феска темно-зеленая вязаная,,,r,70.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/5/katalog-S73F0613-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/golovnoy-ubor/maska-feska-temno-zelenaya-vyazanaya,245-01,,,9007,,,,,,
1394-01,Нашивка на грудь ГРИФОН,,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-S73F1480-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-grifon,1394-01,,,9005,,,,,,
388-01,Нашивка на спину ТИТАН,,,r,16.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/8/katalog-Nashivka_spina_TITAN-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-spinu-titan,388-01,,,9005,,,,,,
269-01,шапка вязаная комуфляжная,,,r,65.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/9/katalog-S73F0643-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/golovnoy-ubor/shapka-vyazanaya-komuflyagnaya,269-01,,,9007,,,,,,
2066-01,Шапка вязаняя с отворотом / темно-синяя,,,r,65.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/img_5460-950x800-product_popup.jpg,+,,,,,,,,,,http://armyshop.net.ua/index.php?route=product/product&path=59_65&product_id=2066,2066-01,,,9007,,,,,,
1630-01,"Нашивка ""Цинічний бандера""",,,r,5.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/0/katalog-IMAG0074-950x800-product_popup.jpg,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-tsinichnij-bandera,1630-01,,,9005,,,,,,
334-01,Медаль За содружество во имя спасения,,,r,200.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-Medal_Za_sodruzhestvo_vo_imja_spasenija-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/medali/medal-za-sodrugestvo-vo-imya-spaseniya,334-01,,,9010,,,,,,
1443-01,Нашивка на грудь сухопутные войска черно желтая,,,r,4.50,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/3/katalog-S73F1532-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-grud-suhoputnye-vojska-cherno-geltaya,1443-01,,,9005,,,,,,
234-01,бейсболка черная флис с ушами,,,r,50.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-S73F0598-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/golovnoy-ubor/bejsbolka-chernaya-flis-s-ushami,234-01,,,9007,,,,,,
1825-01,Жетон + цепочка Спаси и сохрани 1,,,r,30.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/5/katalog-IMG_2486-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/zhetoni/geton-tsepochka-spasi-i-sohrani-1,1825-01,,,9008,,,,,,
1263-01,"Значок подкова, РЭБ Украина",,,r,20.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/3/katalog-Znachok_podkova_RJeB_Ukraina-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/znachki/znachok-podkova-reb-ukraina,1263-01,,,9009,,,,,,
121-01,Пряжка парадная серебро,,,r,65.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/1/katalog-Prjazhka_paradnaja_serebro-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/blyakhi-pryazhki-remnyam/pryagka-paradnaya-serebro,121-01,,,9004,,,,,,
389-01,Нашивка на спину ВИХРЬ,,,r,16.00,,,,,,UAH,,,,шт,,,,,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/nashivka-na-spinu-vihr,389-01,,,9005,,,,,,
904-01,"Курсовка желтая на бордовом, 1курс",,,r,2.00,,,,,,UAH,,,,шт,,,,https://armyshop.net.ua/image/cache/catalog/product/4/katalog-Kursovka_zhb_1k-950x800-product_popup.JPG,+,,,,,,,,,,http://armyshop.net.ua/katalog/vyshivka/kursovka-geltaya-na-bordovom-1kurs,904-01,,,9005,,,,,,
