Номер_группы,Название_группы,Идентификатор_группы,Номер_родителя,Идентификатор_родителя,HTML_заголовок_группы,HTML_описание_группы,HTML_ключевые_слова_группы
,Аксельбанты,9002,,,,,
,Бинокли,9003,,,,,
,Бляхи и пряжки к ремням,9004,,,,,
,Вышивка,9005,,,,,
,Галстуки,9006,,,,,
,Головной убор,9007,,,,,
,Жетоны,9008,,,,,
,Значки,9009,,,,,
,Медали,9010,,,,,
,Обложки и цепи к ним,9011,,,,,
,Обувь,9012,,,,,
,Одежда,9013,,,,,
,Погоны,9014,,,,,
,Ремни,9015,,,,,
,Снаряжение,9016,,,,,
,Сопутствующие товары,9017,,,,,
,Сувениры и подарки,9018,,,,,
,"Флаги, флажки и наконечники",9019,,,,,
,Фурнитура металлическая,9020,,,,,
,Фурнитура пластиковая,9021,,,,,
,Шевроны,9022,,,,,
,Эмблемы,9023,,,,,
