Номер_группы,Название_группы,Идентификатор_группы,Номер_родителя,Идентификатор_родителя,HTML_заголовок_группы,HTML_описание_группы,HTML_ключевые_слова_группы
,Побутові системи очищення води,9000,,,,,
,Фільтри для очищення питної води,9001,9000,,,,
,Змінні картриджі для води,9002,9000,,,,
,Магістральні фільтри для води,9003,9000,,,,
,Фільтраційні системи,9004,9000,,,,
,Фільтри для побутової техніки,9005,9000,,,,
,Розхідні матеріали та аксесуари,9006,,,,,
,Змінні картриджі для води,9007,9006,,,,
,Фільтруючі засипки для очищення води,9008,9006,,,,
,Випромінювачі,9009,9006,,,,
,Аксесуари,9010,9006,,,,
,Басейни,9011,,,,,
,Басейни,9012,9011,,,,
,Роботи пилососи для басейнів,9013,9011,,,,
,Засоби догляду за басейном,9014,9011,,,,
,Реагенти та дозування,9015,,,,,
,Реагенти,9016,9015,,,,
,Станції хімічної промивки мембран,9017,9015,,,,
,Станції дозування,9018,9015,,,,
,"Диспенсери, автомати, кіоски",9019,,,,,
,Диспенсери,9020,9019,,,,
,Автомати,9021,9019,,,,
,Кіоски,9022,9019,,,,
