Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
175562,Фильтр для воды Filter1 MO536F1,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filter1-mo536f1-750x750.jpg,Снято с производства,,,,,,,,,,https://ecosoft-market.com.ua/filter1/filter1-mo536f1,175562,,,9001,,,,,,,"Гарантия, мес.",,12,"Мембрана, мес.",,12,"Нижний комплект, мес.",,3,"Постфильтр, мес.",,6,Производство мембраны,,Украина,"Производительность, л/день",,190 (50 галл.),Назначение,,бытовой,Комплектация,,инструкция по эксплуатации / гарантийный талон / бак / кран для питьевой воды / хомут для врезки в канализацию / трубки для подключения / ключ для колб / ключ для мембраны / тройник для подключения к водопровод / кран на бак / корпус фильтра с кронштейном для крепления на стену / комплект картриджей,Эффективная очистка,,от органических соединений / от бактерий / от механических загрязнений / от накипи / от нефтепродуктов / от неприятного запаха / от хлора,Бренд,,Filter1,Вид фильтрации,,обратноосмотический,Вкус воды,,"утренняя роса - чистая вода, пресная",Второй шаг очистки,,"картридж с гранулированным углём, удаляет хлор","Давление в мембранном баке, атм.",,"0,4 - 0,6","Давление на входе в систему, атм",,2 - 6,"Диаметр подключения, дюймов",,1/2,Допустимый уровень рН,,"6,5-8,5","Качество очистки, %",,95,Количество ступеней очистки,,5,Корпус,,открытый,Материал бака,,метал,"Объем бака, л.",,11,Первый шаг очистки,,"картридж с полипропилена 5 микрон, удаляет песок, гряз, ржавчину",Подходит,,для квартиры / для офиса,"Полезный объем бака, л.",,7,"Потребляемая мощность, Вт",,350,"Производительность, л/час",,8,Производство,,Украина,Пятый шаг очистки,,"угольный постфильтр, улучшает вкус и запах воды",Результат работы,,для питья / для готовки / подходит младенцам,"Температура входящей воды, °С",,от 4 до 30,Тип,,обратный осмос,Тип картриджей,,стандартные,Тип крана,,капелька одинарный,Третий шаг очистки,,"картридж из прессованного активированного угля, удаляет остатки хлора",Установка,,настенная / под мойкой,Четвёртый шаг очистки,,"мембрана Ecosoft (Украина) очищает воду от 99,8% вирусов и бактерий","Высота, мм",,350,"Ширина, мм",,450,"Глубина, мм",,150,Цвет,,белый,"Глубина бака, мм",,260,Ширина бака,,260,,,,,,,,,,,,,,,,,,,,,,,,
140382,Фильтр для воды Наша Вода Luna Синий,,,r,189,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-kuvshin-nasha-voda-luna-sinij-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/nasha-voda/nasha-voda-luna-siniy,140382,,,9001,,,,,,,"Гарантия, мес.",,12,Назначение,,бытовой,Бренд,,Наша Вода,Количество ступеней очистки,,4,Производство,,Украина,Ресурс модуля,,200,Тип,,фильтр-кувшин,Установка,,переносной,Цвет,,синий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175143,Фильтр для воды BWT Bestaqua 60 HQ 421090630,,"<section class=""description"" id=""description"" itemprop=""description"">
<h2>Описание <span class=""heading_product_h2"">BWT Bestaqua 60 HQ 421090630</span></h2>
<blockquote>Фильтр с инновационной технологией Robot Flow и производительностью 180 л/ч для коммерческого сегмента</blockquote>
<p>BWT Bestaqua 60 HQ – производительная обратноосмотическая станция для очистки воды. Задерживает до 99% примесей, включая бактерии и вирусы. Обладает интуитивно понятным управлением и минимальным расходом воды. Может работать без использования электричества.</p>
<h3>Для кого подойдет BWT Bestaqua 60 HQ?</h3>
<img alt=""Для кого подойдет BWT Bestaqua 60 HQ"" src=""/image/catalog/opus/bwt-bestaqua-60-hq-421090630-opus1.jpg""/>
<p>Данная модель предназначена для коммерческого использования. Например, для кафе, баров, ресторанов, гостиниц.</p>
<p>Также можно купить BWT Bestaqua 60 HQ для:</p>
<ul>
<li>небольшого производства;</li>
<li>муниципального предприятия;</li>
<li>котельни;</li>
<li>автомойки.</li>
</ul>
<p>Использовать его можно как в отдельном порядке, так и подключив к определенному оборудованию (например, к посудомоечной машине).</p>
<h3>Основные преимущества BWT Bestaqua 60 HQ</h3>
<p>Первая ключевая особенность данной модели – высокая эффективность. Благодаря фильтрации она подает кристально чистую питьевую воду. Благодаря технологии обратного осмоса вода очищается даже от растворенных в ней компонентов, болезнетворных бактерий и вирусов. И это делает ее абсолютно безопасной как для взрослых людей, так и для маленьких деток.</p>
<blockquote>Так как BWT Bestaqua 60 HQ оснащен только мембраной, то прежде требуется предусмотреть предварительную очистку воды от песка, глины, ржавчины и прочих загрязнений.</blockquote>
<p>Вторая особенность фильтра – инновационная технология Robot Flow. Именно благодаря ей обеспечивается автоматизированное управление потоком чистой воды. При запуске фильтра надо лишь выполнить простую настройку. И после этого он будет работать максимально эффективно – и с экономической, и с экологической стороны.</p>
<p>Также фильтр отличается ультракомпактным дизайном. Он не занимает много места, так что ставить его можно практически где угодно.</p>
<p>Работает данная модель в «онлайн» режиме. Это значит, что полученный пермеат поступает напрямую к потребителю через резервуар, который находится под давлением. Дополнительный насос в данном случае не используется.</p>
<img alt=""Основные преимущества BWT Bestaqua 60 HQ"" src=""/image/catalog/opus/bwt-bestaqua-60-hq-421090630-opus2.jpg""/>
<p>Другие отличительные особенности фильтра:</p>
<ul>
<li>герметичный закрытый корпус (это защищает комплектующие от загрязнений и повреждений);</li>
<li>визуализация параметров работы на LED-дисплее (на нем выводится производительность, температура и прочие важные характеристики);</li>
<li>эффективная мембрана обратного осмоса (имеет увеличенную на 50% производительность и способна удалять до 99% солей жесткости);</li>
<li>интервальная промывка мембран (для оптимальной гигиены);</li>
<li>отсутствие в конструкции застойных зон;</li>
<li>интегрированный датчик протечки;</li>
<li>автоматическое отключение при низком давлении воды;</li>
<li>простая система управления Plug&amp;Play («Включи и пользуйся»), легко осваиваемая с помощью инструкции;</li>
<li>интуитивно понятное меню, в котором несложно разобраться;</li>
<li>система оповещения (предупреждает о низком/высоком давлении воды, низком уровне пермеата, необходимости замены мембраны и других форс-мажорных ситуациях);</li>
<li>интегрированный резервуар пермеата;</li>
<li>простое обслуживание (запасные части меняются за пару минут);</li>
<li>возможность работы без подачи электроэнергии;</li>
<li>система мягкого пуска (улучшает работу мембран);</li>
<li>транспортировочные колесики (упрощают транспортировку оборудования).</li>
</ul>
<p>При использовании фильтра с посудомоечной машиной он:</p>
<ul>
<li>обеспечивает идеальные мытье посуды (за счет удаления минеральных веществ и солей жесткости);</li>
<li>снижает затраты на персонал;</li>
<li>снижает количество разбитой посуды (так как ее не придется вытирать);</li>
<li>снижает количество солей жесткости в воде, тем самым продлевая срок службы оборудования;</li>
<li>снижает расход моющих средств.</li>
</ul>
<p>Аналогичный результат будет и при использовании фильтра с другим профессиональным оборудованием, что подтверждают многочисленные отзывы о фильтре его нынешних владельцев.</p>
<h3>Из чего состоит BWT Bestaqua 60 HQ?</h3>
<p>Мембрана (фильтрует воду на молекулярном уровне). </p>
<h3>Этапы очистки</h3>
<p>Молекулярная очистка мембраной.</p>
<img alt=""Этапы очистки"" src=""/image/catalog/opus/bwt-bestaqua-60-hq-421090630-opus3.jpg""/>
<h3>Комплектация</h3>
<ol>
<li>Фильтр для очистки воды.</li>
<li>Гарантийный талон.</li>
<li>Инструкция по эксплуатации.</li>
</ol>
<p>Обслуживание</p>
<p>Рекомендации производителя по замене картриджей таковы:</p>
<ul>
<li>мембрана – каждые 12 месяцев. </li>
</ul>
<h3>Эффективный фильтр для коммерческого сектора</h3>
<p>Мнения о BWT Bestaqua 60 HQ практически идентичны. Владельцы фильтра отмечают, что это – одно из лучших решений для коммерческого сегмента. Производительности хватает, чтобы обеспечить чистой питьевой водой и рабочий персонал, и всех клиентов. А идеальное качество воды позволяет шеф-поварам и баристам радовать посетителей более вкусными блюдами и горячими напитками. Ведь когда в ней нет никаких примесей – вкус становится совершенно иным.</p>
<p>Также отмечается, что фильтр предельно прост в эксплуатации. Этому способствует технология Robot Flow, компактные габариты, неприхотливость в обслуживании. Плюс фильтр может работать без подачи электричества, что особенно актуально для заведений, у которых часто случаются подобные форс-мажоры.</p>
<p>Заказать эту модель всегда можно в интернет-магазине Ecosoft-Market. Покупая у нас, вы получаете:</p>
<ul>
<li>выгодную экономию (цена BWT Bestaqua 60 HQ аналогична той, что указана на сайте производителя);</li>
<li>бесплатную доставку в любой город Украины;</li>
<li>профессиональный монтаж и грамотное сервисное обслуживание (данные услуги оказываются только для клиентов из Киева).</li>
</ul>
<p>Остались вопросы касаемо данного фильтра? Хотите узнать больше информации о нем? Свяжитесь с нашими менеджерами по телефону – они проконсультируют вас по любым вопросам. Контакты для связи с нами указаны на сайте.</p>
</section>",r,181068,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-bestaqua-60-hq-421090630-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-bestaqua-60-hq-421090630,175143,,,9001,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,"насос / RobotFlow, автоматическая регулировка WCF / ручной байпас",Особенности модели,,ультракомпактный / OLED-дисплей,Назначение,,бытовой / промышленный,Эффективная очистка,,от органических соединений / от бактерий / от механических загрязнений / от накипи / от нефтепродуктов / от неприятного запаха / от хлора,Бренд,,BWT,Вид фильтрации,,обратноосмотический,"Выход пермеата / вход неочищенной воды (WCF),%",,40...80,"Давление на входе в систему, атм",,2 - 6,"Давление, атм, min, max",,3 - 6,"Диаметр подключения, дюймов",,3/4,Допустимый уровень рН,,3-9,"Качество очистки, %",,99,Корпус,,закрыт (моноблок),"Объем бака, л.",,37,Подходит,,"для квартиры / для офиса / для дома / для кафе, ресторана / для кофейни","Производительность, л/час",,180,Производство,,Австрия,Результат работы,,для питья / для готовки / подходит младенцам,Серия,,BestAqua,"Температура входящей воды, °С",,от 5 до 30,Тип,,обратный осмос,Тип крана,,капелька одинарный,Установка,,напольная / под мойкой,Электропитание,,230,"Высота, мм",,736,"Ширина, мм",,350,"Глубина, мм",,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140262,Система обратного осмоса Ecosoft Absolute MO650MECO с минерализатором,,"<section class=""description"" id=""description"" itemprop=""description"">
<h2>Описание <span class=""heading_product_h2"">Ecosoft Absolute MO650MECO с минерализатором</span></h2>
<blockquote>Чистая вода с полезными для организма минералами</blockquote>
<p>Вы хотите, чтобы у вас дома из крана поступала абсолютно чистая, прозрачная и вкусная вода? Сегодня воплотить это в жизнь очень легко – достаточно просто установить фильтр. А хотите, чтобы вода была не только вкусной, но и полезной для здоровья? Это тоже легко реализовать – надо только выбрать фильтр с минерализатором.</p>
<p>Как раз таким эффективным решением является модель Ecosoft Absolute MO650MECO. Во-первых, она оснащена инновационной мембраной американского производства, благодаря которой очищает до 99,8% загрязнений. Во-вторых, у нее есть минерализатор, обогащающий воду полезными минералами и микроэлементами. Но самый главный плюс – это цена Ecosoft Absolute MO650MECO. По сравнению с обычным аналогом без минерализатора данная модель стоит лишь на пару сотен гривен дороже. Зато какой вкусной и полезной получается вода – словами это не передать!</p>
<h3>Кому подойдет модель Ecosoft Absolute MO650MECO?</h3><img alt=""Кому подойдет модель Ecosoft Absolute MO650MECO"" src=""/image/catalog/opus/ecosoft-absolute-6-50m-mo650meco-opus1.jpg""/>
<p>В первую очередь купить Ecosoft Absolute MO650MECO могут семьи с детьми. Ведь для активного роста организм ребенка должен получать все необходимые минералы и микроэлементы в нужном количестве. Да, большая часть из них содержится в еде, но и минерализованная вода тоже будет весьма кстати.</p>
<p>Кроме того, данная модель подойдет людям, которые заботятся о собственном здоровье. Очищенная от всех примесей вода благотворно влияет на организм, улучшает настроение и самочувствие. А обогащенная минералами – она помогает укрепить иммунитет и снижает риск простудных заболеваний.</p>
<p>Также приобрести эту модель может любой желающий. Все потому, что она универсальна и подходит как для квартир, так и для частных домов. Плюс по соотношению цены и качества – это один из лучших вариантов на рынке.</p>
<blockquote>Ecosoft – единственная фирма в Украине с полным циклом производства. Этим и объясняется высокое качество ее продукции и доступные цены.</blockquote>
<h3>Основные преимущества Ecosoft Absolute MO650MECO</h3>
<p>Система обратного осмоса имеет целый ряд преимуществ, за счет которых выгодно отличается от множества аналогов от других производителей.</p>
<p>Первый плюс – американская мембрана Dow Filmtec™. Это уникальный фильтрующий элемент, который есть только у моделей Ecosoft. Мембрана имеет очень мелкие поры, через которые проходят лишь молекулы воды. Частицы песка, ржавчины и прочие загрязнения задерживаются и смываются в канализацию.</p>
<p>Через мембрану не проходят даже бактерии и вирусы, что делает очищенную воду абсолютно безопасной для маленьких деток. Уровень очистки равен 99,8% – таким высоким показателем не обладает ни один фильтр от других украинских производителей!</p>
<blockquote>Мембрана Dow Filmtec™ производится крупнейшим американским производителем Dow Chemical, лидером по разработке фильтрующих материалов. Его комплектующими пользуются разные компании по всему миру, в том числе и Ecosoft. Бренд Dow Filmtec – это синоним качества, и по популярности равных ему нет.</blockquote>
<img alt=""Основные преимущества Ecosoft Absolute MO650MECO"" src=""/image/catalog/opus/ecosoft-absolute-6-50m-mo650meco-opus2.jpg""/><p>Второй плюс – надежность и долговечность фильтра. Чтобы добиться этого, компания Ecosoft:</p>
<ul>
<li>изготавливает свою продукцию на современном австрийском оборудовании;</li>
<li>использует колбы, сделанные из первичного пищевого материала (полипропилена). В производстве этих пластмасс бисфенол не используется, а их состав соответствует Директиве ЕС «Предметы, используемые для контакта с продуктами питания»;</li>
<li>успешно прошла сертификацию в США, получив сертификат WQA Gold Seal.</li>
</ul>
<blockquote>Экософт – единственная украинская компания, имеющая сертификаты США и ЕС. И это наглядно демонстрирует качество ее продукции.</blockquote>
<p>Кстати, по сравнению с моделями серии Standard фильтры серии Absolute получили увеличенную вдвое гарантию. Составляет она ровно 24 месяца. Это минимальный период, в течение которого производитель гарантирует бесперебойную работу фильтра. Хотя прослужит он, конечно же, намного дольше (при соблюдении элементарных правил эксплуатации).</p>
<p>Другие плюсы данной модели:</p>
<ul>
<li>6 ступеней очистки;</li>
<li>хорошая производительность (8 л/час), которой хватит для семьи из 3-4 человек;</li>
<li>быстрая установка (ставится под мойкой примерно за час-полтора – и с этим можно справиться даже самостоятельно);</li>
<li>простой уход (сводится лишь к периодической замене расходников).</li>
</ul>
<p>А самым главным отличием этого фильтра от похожих аналогов Ecosoft является минерализатор, устанавливаемый на последнем этапе. Он восстанавливает минеральный баланс воды, делая ее не только вкусной, но и полезной для нашего организма.</p>
<h3>Из чего состоит Ecosoft Absolute MO650MECO?</h3>
<ol>
<li>Картридж из вспененного полипропилена, 5 мкм (удаляет механические примеси размером до 5 мкм – песок, ржавчину, накипь).</li>
<li>Картридж из гранулированного активированного угля (очищает от хлора, хлорорганических примесей и органических веществ).</li>
<li>Картридж из брикетированного активированного угля (задерживает остатки механических частиц, хлорорганики и органических веществ).</li>
<li>Мембрана Dow Filmtec™ (задерживает 99,8% минеральных и органических примесей, включая бактерии и вирусы).</li>
<li>Угольный постфильтр (улучшает вкус и запах очищенной воды).</li>
<li>Минерализатор (обогащает воду минералами, восстанавливает ее минеральный баланс).</li>
<li>Накопительный бак (используется для хранения очищенной воды).</li>
<li>Двойной хромированный кран «Модерн» (подает очищенную или минерализованную воду в отдельном порядке).</li>
</ol>
<h3>Ступени фильтрации</h3>
<p>Очистка воды происходит в 6 этапов:</p>
<ol>
<li>Предварительная фильтрация от механических примесей (частиц ила, песка, ржавчины).</li>
<li>Очистка от органических и хлорорганических веществ, хлора.</li>
<li>Фильтрация от мельчайших частиц механических примесей и оставшегося хлора.</li>
<li>Основной этап: удерживание до 99,8% загрязнений (через мембрану проходят только молекулы воды).</li>
<li>Корректировка вкуса и запаха воды (она приобретает слегка сладковатый привкус).</li>
<li>Обогащение минералами, восстановление минерального баланса.</li>
</ol>
<img alt=""Ступени фильтрации"" src=""/image/catalog/opus/ecosoft-absolute-6-50m-mo650meco-opus3.jpg""/><h3>Что входит в комплект фильтра?</h3>
<ol>
<li>Корпус системы обратного осмоса с креплением.</li>
<li>Набор картриджей предварительной очистки (улучшенный)*</li>
<li>Мембрана Dow Filmtec™.</li>
<li>Угольный постфильтр.</li>
<li>Минерализатор.</li>
<li>Пластиковый накопительный бак.</li>
<li>Кран подачи чистой воды.</li>
<li>Комплект трубок и фитингов.</li>
<li>Ключи для замены картриджей и мембраны.</li>
<li>Руководство для пользователя.</li>
</ol>
<p>Также в комплекте идет двойной кран «Модерн». С его помощью можно в отдельном порядке использовать очищенную воду для приготовления блюд и горячих напитков, а также минерализованную воду – для питья.</p>
<p>*В комплекте с фильтром идет улучшенный набор картриджей с увеличенным сроком службы. При последующей замене можно ставить любые расходники (на ваше усмотрение).</p>
<h3>Рекомендации по обслуживанию фильтра</h3>
<p>Для эффективной очистки воды надо менять картриджи в следующем порядке:</p>
<ul>
<li>картриджи предварительной очистки – каждые 3 месяца;</li>
<li>постфильтр – каждые 6 месяцев;</li>
<li>минерализатор – каждые 6 месяцев;</li>
<li>мембрана – каждые 12 месяцев.</li>
</ul>
<p>Если знаете, что долгое время не будете включать фильтр – обязательно перекрывайте подачу воды на него.</p>
<h3>Какую воду может очистить осмос?*</h3><img alt=""Какую воду может очистить осмос"" src=""/image/catalog/opus/ecosoft-absolute-6-50m-mo650meco-opus4.jpg""/>
<p>*Если ваша вода хуже по качеству – то, скорее всего, картриджи и мембрану придется менять чаще.</p>
<h3>Чистая вода с оптимальным минеральным балансом</h3>
<p>Знаете, какие мнения о Ecosoft Absolute MO650MECO оставляют ее владельцы? Они отмечают, что теперь имеют возможность ежедневно пить воду из родникового источника. Ведь по вкусу и минеральному составу она практически такая же.</p>
<p>Также, оставляя отзывы, они сообщают, что больше не покупают бутилированную воду в магазине. Плюс теперь их расходы значительно сократились. Ведь если в магазине литр воды стоит в районе 10-15 гривен, то благодаря фильтру эта стоимость снизилась до 1 гривны.</p>
<p>Так что если вы хотите, чтобы и у вас дома была чистая вода с оптимальным минеральным балансом – самое время обзавестись фильтром от Ecosoft. Заказывая его в нашем интернет-магазине, вы можете рассчитывать на:</p>
<ul>
<li>отсутствие наценок (продаем по такой же цене, как и на сайте производителя);</li>
<li>бесплатную доставку в любой город Украины;</li>
<li>помощь в установке фильтра (только для клиентов из Киева).</li>
</ul>
<p>Также мы оказываем бесплатные консультации. Если хотите что-то уточнить – звоните, спрашивайте, наши менеджеры с удовольствием проконсультируют по любым вопросам и объяснят непонятные для вас моменты. </p> </section>",r,6099,,,,,,UAH,,,,шт,,,,"https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-9-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-8-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-7-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-6-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-5-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-4-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-3-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-1-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-10-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-2-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-11-750x750.jpg, https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-absolute-6-50m-mo650meco-12-750x750.jpg",+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-absolute-6-50m-mo650meco,140262,,,9001,,,,,,,"Гарантия, мес.",,24,"Мембрана, мес.",,12,"Минерализатор, мес.",,6,"Нижний комплект, мес.",,3,"Постфильтр, мес.",,6,УФ-лампа,,6,Тип минерализатора,,стандартный,Оснащение и функции,,минерализатор,Производство мембраны,,США,"Производительность, л/день",,190 (50 галл.),Назначение,,бытовой,Комплектация,,инструкция по эксплуатации / гарантийный талон / бак / кран для питьевой воды / хомут для врезки в канализацию / трубки для подключения / ключ для колб / ключ для мембраны / тройник для подключения в водопровод / кран на бак / корпус фильтра с кронштейном для крепления на стену / комплект картриджей,Эффективная очистка,,от органических соединений / от бактерий / от механических загрязнений / от накипи / от хлора / от нефтепродуктов / от неприятного запаха,Бренд,,Ecosoft,Вид фильтрации,,обратноосмотический,Вкус воды,,"талая вода - легкая, приятная на вкус",Второй шаг очистки,,"картридж с гранулированным углём, удаляет хлор","Давление в мембранном баке, атм.",,"0,4 - 0,6","Давление на входе в систему, атм",,3 - 6,"Давление, атм, min, max",,2 - 6,"Диаметр подключения, дюймов",,1/2,Допустимый уровень рН,,"6,5-8,5","Качество очистки, %",,98,Количество ступеней очистки,,6,Корпус,,открытый,Материал бака,,пластик,"Объем бака, л.",,7,Первый шаг очистки,,"картридж с полипропилена 5 микрон, удаляет песок, гряз, ржавчину",Подходит,,для квартиры / для офиса,"Производительность, л/час",,8,Производство,,Украина,Пятый шаг очистки,,"угольный постфильтр, улучшает вкус и запах воды",Результат работы,,для питья / для готовки / подходит младенцам,Серия,,Absolute,"Температура входящей воды, °С",,от 4 до 30,Тип,,обратный осмос,Тип крана,,модерн двойной,Третий шаг очистки,,"картридж из прессованного активированного угля, удаляет остатки хлора","Уровень минерализации, мг/л",,40-50,Установка,,под мойкой,Четвёртый шаг очистки,,"мембрана очищает DOW Filmtec (США) воду от 99,8% вирусов и бактерий",Шестой шаг очистки,,"минерализатор, добавляет полезные минералы в очищеную воду","Высота, мм",,484,"Ширина, мм",,410,"Глубина, мм",,195,"Вес системы, кг",,6,Цвет,,синий,"Высота бака, мм",,350,"Глубина бака, мм",,260,Ширина бака,,260,,,
