Номер_группы,Название_группы,Идентификатор_группы,Номер_родителя,Идентификатор_родителя,HTML_заголовок_группы,HTML_описание_группы,HTML_ключевые_слова_группы
,Одежда,9001,,,,,
,Костюмы,9002,,9001,,,
,Рубашки,9003,,9001,,,
,Комбинезоны,9004,,9001,,,
,Куртки,9005,,9001,,,
,Брюки/ Полукомбенизоны,9006,,9001,,,
,Бушлаты,9007,,9001,,,
,Свитера/Подстежки,9008,,9001,,,
,Жилеты,9009,,9001,,,
,Юбки,9010,,9001,,,
,Кители,9011,,9001,,,
,Дождевые комплекты,9012,,9001,,,
,Пончо,9013,,9012,,,
,Галстуки,9014,,9001,,,
,Перчатки,9015,,9001,,,
,Маскировка,9016,,9001,,,
,Головные уборы,9017,,9001,,,
,Фуражки,9018,,9017,,,
,Кепки,9019,,9017,,,
,Береты и пилотки,9020,,9017,,,
,Бейсболки и панамы,9021,,9017,,,
,Шапки вязанные,9022,,9017,,,
,Шапки меховые,9023,,9017,,,
,Шапки флисовые,9024,,9017,,,
,"Арафатка, банданы",9025,,9017,,,
,"Шарф, баф, балаклавы",9026,,9017,,,
,Каракуль,9027,,9017,,,
,Футболки/Майки,9028,,9001,,,
,Армейское термобелье,9029,,9001,,,
,Носки,9030,,9001,,,
,Обувь,9031,,,,,
,Берцы,9032,,9031,,,
,Туфли,9033,,9031,,,
,Ботинки и полуботинки,9034,,9031,,,
,Кроссовки,9035,,9031,,,
,Сопутствующие материалы,9036,,9031,,,
,Кожгалантерея,9037,,,,,
,Кобуры,9038,,9037,,,
,Навески,9039,,9037,,,
,Ремни,9040,,9037,,,
,Обложки и брелоки,9041,,9037,,,
,Походные аксесуары,9042,,,,,
,Палатки,9043,,9042,,,
,Фляги,9044,,9042,,,
,Набор для выживания,9045,,9042,,,
,Прочее,9046,,,,,
,"Шевроны, нашивки",9047,,9046,,,
,Фурнитура,9048,,9046,,,
,Зажимы для галстука,9049,,9048,,,
,Кокарды,9050,,9048,,,
,Звезды,9051,,9048,,,
,Пуговицы,9052,,9048,,,
,Эмблемы,9053,,9048,,,
,"Лычки, буквы",9054,,9048,,,
,"Аксельбанты, позументы",9055,,9048,,,
,"Значки,жетоны, цепочки",9056,,9048,,,
,Погоны,9057,,9046,,,
,Очки/Маски,9058,,9046,,,
,Стрелковые наушники,9059,,9046,,,
,Распродажа,9060,,,,,
