Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
401,Рубашка полиция,,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p>Рубашка полиция. Серая короткий рукав.</p></div> </section>",r,280.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/1134-thickbox_default/rubashka-policiya.jpg, http://gvardeisky.com.ua/1135-thickbox_default/rubashka-policiya.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/401-rubashka-policiya.html,401,,,9003,,,,,,
359,Полицейский жилет светоотражающий. Польша,,"<section class=""page-product-box""><h3 class=""idTabHrefShort page-product-heading"" id=""#idTab5"">Отзывы</h3><div id=""idTab5""><div id=""product_comments_block_tab""><p class=""align_center"">Пока нет обзоров.</p></div></div><div style=""display: none;""><div id=""new_comment_form""><form action=""#"" id=""id_new_comment_form""><h2 class=""page-subheading""> Написать отзыв</h2><div class=""row""><div class=""product clearfix col-xs-12 col-sm-6""> <img alt=""Полицейский жилет светоотражающий. Польша"" height=""125"" src=""http://gvardeisky.com.ua/1040-medium_default/policejskij-zhilet-svetootrazhayusshij-polsha.jpg"" width=""125""/><div class=""product_desc""><p class=""product_name""> <strong>Полицейский жилет светоотражающий. Польша</strong></p><p>Материал: Сетка</p><p>Состояние: Новый</p><p></p></div></div><div class=""new_comment_form_content col-xs-12 col-sm-6""><div class=""error"" id=""new_comment_form_error"" style=""display: none; padding: 15px 25px""><ul></ul></div><ul id=""criterions_list""><li> <label>Quality:</label><div class=""star_content""> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""1""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""2""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""3""/> <input checked=""checked"" class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""4""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""5""/></div><div class=""clearfix""></div></li></ul> <label for=""comment_title""> Заголовок: <sup class=""required"">*</sup> </label> <input id=""comment_title"" name=""title"" type=""text"" value=""""/> <label for=""content""> Комментарий: <sup class=""required"">*</sup> </label><textarea id=""content"" name=""content""></textarea><div id=""new_comment_form_footer""> <input id=""id_product_comment_send"" name=""id_product"" type=""hidden"" value=""359""/><p class=""fl required""><sup>*</sup> Обязательные поля</p><p class=""fr""> <button class=""btn button button-small"" id=""submitNewMessage"" name=""submitMessage"" type=""submit""> <span>Добавить</span> </button>  или  <a class=""closefb"" href=""#""> Отмена </a></p><div class=""clearfix""></div></div></div></div></form></div></div> </section>",r,120.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/1040-thickbox_default/policejskij-zhilet-svetootrazhayusshij-polsha.jpg, http://gvardeisky.com.ua/1041-thickbox_default/policejskij-zhilet-svetootrazhayusshij-polsha.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/359-policejskij-zhilet-svetootrazhayusshij-polsha.html,359,,,9009,,,,,,
408,Свитер оливковый,,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p>Свитер оливковый форменный. Выполняется в трех видах: Высокое горло, футболочное горло и мыс под рубашку. Материал акрил. Впереди имеется карман, на плечах крепление под погоны из ткани осло. </p></div> </section>",r,400.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/1146-thickbox_default/sviter-olivkovyj.jpg, http://gvardeisky.com.ua/1147-thickbox_default/sviter-olivkovyj.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/408-sviter-olivkovyj.html,408,,,9008,,,,,,
339,"Куртка-парка армии Нидерландов, камуфляж DPM",,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p><span>Военная куртка армии Нидерландов, DPM, трехслойная</span><br/><span>Куртка армии Нидерландов состоит из трех слоев: наружный камуфлированный слой из смесовой ткани (50% х/б, 50% синтетика), второй слой из водонепроницаемой ""дышащей"" мембранной ткани (типа гортекс) и третий слой - утеплитель из искусственного меха. Все слои съемные и могут комбинироваться в зависимости от погодных условий и окружающей температуры, т.е. куртку можно использовать начиная с ранней осени и вплоть до лютых морозов.</span><br/><span>У куртки пять карманов: два нагрудных, два набедренных и один на правом рукаве. Карманы имеют клапана, которые фиксируются кнопками.</span><br/><span>Застежка - молния с двойным клапаном. В комплект к куртке идет капюшон, который одевается поверх, без какой-либо фиксации на самой куртке.</span></p></div> </section>",r,0.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/952-thickbox_default/kurtka-parka-armii-niderlandov-kamuflyazh-dpm.jpg, http://gvardeisky.com.ua/945-thickbox_default/kurtka-parka-armii-niderlandov-kamuflyazh-dpm.jpg, http://gvardeisky.com.ua/946-thickbox_default/kurtka-parka-armii-niderlandov-kamuflyazh-dpm.jpg, http://gvardeisky.com.ua/947-thickbox_default/kurtka-parka-armii-niderlandov-kamuflyazh-dpm.jpg, http://gvardeisky.com.ua/948-thickbox_default/kurtka-parka-armii-niderlandov-kamuflyazh-dpm.jpg, http://gvardeisky.com.ua/949-thickbox_default/kurtka-parka-armii-niderlandov-kamuflyazh-dpm.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/339-kurtka-parka-armii-niderlandov-kamuflyazh-dpm.html,339,,,9005,,,,,,
351,Костюм полиции,,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p>Костюм Выполнен из высококачественных материалов, пошит в соответствии с ГОСТ Украины.</p><p><strong>Характеристика комплекта:</strong></p><p>— пошит из смессовой ткани рипстоп (65% хлопок, 35 синтетика), что делает его прочным, хорошо проветривающимся и не вызывающим кожные реакции;</p><p>— крой свободный, но не слишком (идеально для выполнения физических упражнений).</p><p>Особенности новой формы полиции:</p><p>1. Рубашка (имеет аккуратные манжеты, погоны, отложной ворот; застегивается на пуговицы;</p><p>на груди расположено 2 накладных кармана).</p><p>2. Брюки (средней посадки; имеют 2 поясных косых кармана, 2 задних и 2 накладных</p><p>набедренных; шлицы широкие и крепкие).</p><p></p></div> </section>",r,750.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/994-thickbox_default/kostyum-policii.jpg, http://gvardeisky.com.ua/993-thickbox_default/kostyum-policii.jpg, http://gvardeisky.com.ua/992-thickbox_default/kostyum-policii.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/351-kostyum-policii.html,351,,,9002,,,,,,
370,Парадный костюм ПОЛИЦИЯ Украины,,"<section class=""page-product-box""><h3 class=""idTabHrefShort page-product-heading"" id=""#idTab5"">Отзывы</h3><div id=""idTab5""><div id=""product_comments_block_tab""><p class=""align_center"">Пока нет обзоров.</p></div></div><div style=""display: none;""><div id=""new_comment_form""><form action=""#"" id=""id_new_comment_form""><h2 class=""page-subheading""> Написать отзыв</h2><div class=""row""><div class=""product clearfix col-xs-12 col-sm-6""> <img alt=""Парадный костюм ПОЛИЦИЯ Украины"" height=""125"" src=""http://gvardeisky.com.ua/1069-medium_default/paradnyj-kostyum-policiya.jpg"" width=""125""/><div class=""product_desc""><p class=""product_name""> <strong>Парадный костюм ПОЛИЦИЯ Украины</strong></p><p>Материал: полушерсть</p><p>Производство: Украина </p></div></div><div class=""new_comment_form_content col-xs-12 col-sm-6""><div class=""error"" id=""new_comment_form_error"" style=""display: none; padding: 15px 25px""><ul></ul></div><ul id=""criterions_list""><li> <label>Quality:</label><div class=""star_content""> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""1""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""2""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""3""/> <input checked=""checked"" class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""4""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""5""/></div><div class=""clearfix""></div></li></ul> <label for=""comment_title""> Заголовок: <sup class=""required"">*</sup> </label> <input id=""comment_title"" name=""title"" type=""text"" value=""""/> <label for=""content""> Комментарий: <sup class=""required"">*</sup> </label><textarea id=""content"" name=""content""></textarea><div id=""new_comment_form_footer""> <input id=""id_product_comment_send"" name=""id_product"" type=""hidden"" value=""370""/><p class=""fl required""><sup>*</sup> Обязательные поля</p><p class=""fr""> <button class=""btn button button-small"" id=""submitNewMessage"" name=""submitMessage"" type=""submit""> <span>Добавить</span> </button>  или  <a class=""closefb"" href=""#""> Отмена </a></p><div class=""clearfix""></div></div></div></div></form></div></div> </section>",r,1,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/1069-thickbox_default/paradnyj-kostyum-policiya.jpg, http://gvardeisky.com.ua/1070-thickbox_default/paradnyj-kostyum-policiya.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/370-paradnyj-kostyum-policiya.html,370,,,9002,,,,,,
301,"Комбенизон BW, tropentarn, оригинал",,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p><span>Комбинезоны BW в расцветке олива, материал -100% Baumwolle:</span><br/><span>― высоко застегивающийся воротник;</span><br/><span>― двухсторонняя фронтальная молния;</span><br/><span>― 2 нагрудных кармана закрывающиеся молнией;</span><br/><span>― 2 кармана на поясе закрывающиеся молнией;</span><br/><span>― 2 кармана на ногах закрывающиеся молнией;</span><br/><span>― рукава регулируются манжетами на липучках и молниями;</span><br/><span>― низ брючин регулируются манжетами на липучках и молниями;</span><br/><span>― регулируемая талия;</span><br/><span>― плечевые клапаны для погон;</span><br/><span>― петли-держатели на нагрудном кармане;</span><br/><span>― на брючинах и рукавах имеются светоотражающие полоски (при необходимости легко спарываются).</span></p></div> </section>",r,0.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/784-thickbox_default/kombenizon-bw-tropentarn-original.jpg, http://gvardeisky.com.ua/785-thickbox_default/kombenizon-bw-tropentarn-original.jpg, http://gvardeisky.com.ua/786-thickbox_default/kombenizon-bw-tropentarn-original.jpg, http://gvardeisky.com.ua/787-thickbox_default/kombenizon-bw-tropentarn-original.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/301-kombenizon-bw-tropentarn-original.html,301,,,9004,,,,,,
345,"Пончо (накидка-дождевик), Coyote tan, Германия",,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p> Камуфлированные и однотонные водонепроницаемые пончо-дождевики изготовленные из 100 % нейлона (с использованием технологии rip-stop, т.е. за счёт упрочняющих нитей мелкие порезы и дырки не могут свободно разойтись на такой ткани) изнутри с водонепроницаемым покрытием ПВХ и качественно проклеенными швами. Ткань легкая, слабо шуршащая.<br/>Размер в развернутом виде 144х223 см., т.е. подходит на любую комплекцию с учетом одевания его сверху на рюкзак и т.д. В то же время в сложенном виде занимает очень мало места, всего лишь 25х25 см., толщина не более 5 см. и весом 350 грамм. И что немаловажно пончо укомплектовано родным чехлом с утяжкой в цвет самого дождевика.<br/><br/>Состояние - Новые в упаковке</p><p>  Пончо многофункционально и может быть использовано как минимум в 3-х вариациях помимо обычной накидки от дождя:</p><p><span>- использование изделия в качестве тента (по бокам имеются люверсы), одно пончо-накидка в натянутом виде создает укрытие размером 144х223 см., но с помощью боковых кнопок между собой пончо состегиваются образовывая тент минимум 2,2х2,8 м. </span><br/><span>- одно пончо (полотно) можно использовать как укрытие, закрепив пончо за люверсы с помощью резинок и т.д.</span><br/><span>- если объединить 2 пончо в  одно то можно использовать как укрытие/палатку либо растянув между деревьями резинками, либо установив поддерживающие распорки (резинки, распорки, веревки, колышки, спальник фото в комплект не входят).</span></p></div> </section>",r,620.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/962-thickbox_default/poncho-nakidka-dozhdevik-coyote-tan-germaniya.jpg, http://gvardeisky.com.ua/967-thickbox_default/poncho-nakidka-dozhdevik-coyote-tan-germaniya.jpg, http://gvardeisky.com.ua/966-thickbox_default/poncho-nakidka-dozhdevik-coyote-tan-germaniya.jpg, http://gvardeisky.com.ua/963-thickbox_default/poncho-nakidka-dozhdevik-coyote-tan-germaniya.jpg, http://gvardeisky.com.ua/973-thickbox_default/poncho-nakidka-dozhdevik-coyote-tan-germaniya.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/345-poncho-nakidka-dozhdevik-coyote-tan-germaniya.html,345,,,9013,,,,,,
165,Перчатки Беспалые,,"<section class=""page-product-box""><h3 class=""idTabHrefShort page-product-heading"" id=""#idTab5"">Отзывы</h3><div id=""idTab5""><div id=""product_comments_block_tab""><p class=""align_center"">Пока нет обзоров.</p></div></div><div style=""display: none;""><div id=""new_comment_form""><form action=""#"" id=""id_new_comment_form""><h2 class=""page-subheading""> Написать отзыв</h2><div class=""row""><div class=""product clearfix col-xs-12 col-sm-6""> <img alt=""Перчатки Беспалые"" height=""125"" src=""http://gvardeisky.com.ua/437-medium_default/perchatki-bespalye.jpg"" width=""125""/><div class=""product_desc""><p class=""product_name""> <strong>Перчатки Беспалые</strong></p><p><span>В продаже тактические кожаные перчатки без пальцев.</span><br/><span>(натуральная качественная кожа)</span><br/><span>Производитель - MFH Германия.</span><br/><span>Размеры - S, M, L, XL, XXL</span><br/><span>Цвет : черный</span></p></div></div><div class=""new_comment_form_content col-xs-12 col-sm-6""><div class=""error"" id=""new_comment_form_error"" style=""display: none; padding: 15px 25px""><ul></ul></div><ul id=""criterions_list""><li> <label>Quality:</label><div class=""star_content""> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""1""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""2""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""3""/> <input checked=""checked"" class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""4""/> <input class=""star not_uniform"" name=""criterion[1]"" type=""radio"" value=""5""/></div><div class=""clearfix""></div></li></ul> <label for=""comment_title""> Заголовок: <sup class=""required"">*</sup> </label> <input id=""comment_title"" name=""title"" type=""text"" value=""""/> <label for=""content""> Комментарий: <sup class=""required"">*</sup> </label><textarea id=""content"" name=""content""></textarea><div id=""new_comment_form_footer""> <input id=""id_product_comment_send"" name=""id_product"" type=""hidden"" value=""165""/><p class=""fl required""><sup>*</sup> Обязательные поля</p><p class=""fr""> <button class=""btn button button-small"" id=""submitNewMessage"" name=""submitMessage"" type=""submit""> <span>Добавить</span> </button>  или  <a class=""closefb"" href=""#""> Отмена </a></p><div class=""clearfix""></div></div></div></div></form></div></div> </section>",r,100.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/437-thickbox_default/perchatki-bespalye.jpg, http://gvardeisky.com.ua/438-thickbox_default/perchatki-bespalye.jpg, http://gvardeisky.com.ua/439-thickbox_default/perchatki-bespalye.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/165-perchatki-bespalye.html,165,,,9015,,,,,,
14,Джемпер камуфляжный,,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p>Джемпер выполнен из пряжи ПАН (100% акрил).</p><p>Изделие имеет среднююплотность вязки. По низу изделия и рукавам проходит резинка. Воротник V- й, высоким воротомили круглыйобработан бейкой. На передней полке слевой стороны имеется внешний нагрудный карман, выполненный из ткани. На плечах изделия и на рукавах (в районе локтя) нашиты тканевые накладки. Для кармана и накладок используется прочная влагостойкая ткань.</p><p>Цвет: камуфляж</p></div> </section>",r,450.00,,,,,,UAH,,,,шт,,,,http://gvardeisky.com.ua/17-thickbox_default/dzhemper-kamuflyazhnyj.jpg,+,,,,,,,,,,http://gvardeisky.com.ua/14-dzhemper-kamuflyazhnyj.html,14,,,9008,,,,,,
277,Маскировочный шарф-сетка Oliva,,"<section class=""page-product-box""><h3 class=""page-product-heading"">Описание</h3><div class=""rte""><p>Индивидуальные маскировочные сети, полезный и удобный элемент маскировки снайпера, бойца, охотника, любителя и т.д. Причем как непосредственно как элемент маскировки лица (шарф) так и для более обширной площади маскировки (лежка, как завеса в нишах/кустах, маскировка вещей и других предметов).</p></div> </section>",r,440.00,,,,,,UAH,,,,шт,,,,"http://gvardeisky.com.ua/698-thickbox_default/maskirovochnyj-sharf-setka-oliva.jpg, http://gvardeisky.com.ua/699-thickbox_default/maskirovochnyj-sharf-setka-oliva.jpg",+,,,,,,,,,,http://gvardeisky.com.ua/277-maskirovochnyj-sharf-setka-oliva.html,277,,,9016,,,,,,
