Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
9001,Каминная топка Hajduk Volcano 2LTh,,"Каминные топки серии Volcano с двумя остеклениями, через которые вы можете наблюдать пылающий огонь. Их средняя эффективность остается на уровне 85%. Расход топлива не превышает 2,9 кг / ч. Они работают очень эффективно и не выделяют слишком много выхлопов. Они имеют современные стальные и шамотные конструкции и многочисленные системы регулировки, которые делают их работу легкой и удобной. Сохранение их чистоты также не вызывает серьезных проблем. Это прочные устройства, которые украсят любой интерьер.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,81196,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3862/Volcano-2LTh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3862/Volcano-2LTh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3862/Volcano-2PTh-2LTh---karta-techniczna.jpg, https://kaminlux.com.ua//stuff/catalog/17/3862/W.wk.k-v-drzwi-bezramowe.jpg, https://kaminlux.com.ua//stuff/catalog/17/3862/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-5.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Volcano-2LTh/,,9001,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,11.0 (кВт),Рабочий диапазон нагрева,,4.5-14.0 (кВт),Коэффициент полезного действия,,84.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Подъем вверх,Форма стекла топки,,Угловое,Количество стекол в дверце,,2,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Камера двойного сгорания,,Да,Вес,,260.0 (кг),Ширина,,855.0 (мм),Высота,,1333.0 (мм),Глубина,,600.0 (мм),Диаметр дымохода,,200.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9002,Каминная топка Hajduk Smart 2LXLTh,,"Каминные топки серии Smart с двумя остеклениями, через которые вы можете наблюдать пылающий огонь. Их средняя эффективность остается на уровне 85%. Расход топлива не превышает 2,9 кг / ч. Они работают очень эффективно и не выделяют слишком много выхлопов. Они имеют современные стальные и шамотные конструкции и многочисленные системы регулировки, которые делают их работу легкой и удобной. Сохранение их чистоты также не вызывает серьезных проблем. Это прочные устройства, которые украсят любой интерьер.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,70395,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3857/20.-Smart-2LXLTh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3857/20.-Smart-2LXLTh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3857/513.-AranEacja-Hajduk-Smart-2LXLTh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3857/Smart-2LXLTH-2PXLTh---karta-techniczna.jpg, https://kaminlux.com.ua//stuff/catalog/17/3857/drzwi-bezramowe.jpg, https://kaminlux.com.ua//stuff/catalog/17/3857/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-2.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Smart-2LXLTh/,,9002,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,6.5 (кВт),Рабочий диапазон нагрева,,4.0-9.0 (кВт),Коэффициент полезного действия,,82.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Подъем вверх,Форма стекла топки,,Угловое,Количество стекол в дверце,,2,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Камера двойного сгорания,,Да,Вес,,175.0 (кг),Ширина,,694.0 (мм),Высота,,1200.0 (мм),Глубина,,515.0 (мм),Диаметр дымохода,,180.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9003,Каминная топка KRATKI LUCY 14,,,r,36252,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/2021/www-kominek-powietrzny-lucy-14-1-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/2021/www-kominek-powietrzny-lucy-14-1-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/2021/www-kominek-powietrzny-lucy-14-2-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/2021/www-kominek-powietrzny-lucy-14-3-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/2021/www-kominek-powietrzny-lucy-14-4-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/2021/69_LUCY_14.jpg, https://kaminlux.com.ua//stuff/catalog/17/2021/rys-tech-lucy-14.png",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-KRATKI-LUCY-14/,,9003,,'534124,,,,,,,Производитель,,Kratki,Страна производитель,,Польша,Мощность номинальная,,14.0 (кВт),Коэффициент полезного действия,,81.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Тип топки,,Закрытая,Способ открытия дверцы топки,,Боковое открытие,Форма стекла топки,,Прямое,Количество стекол в дверце,,1,Система очистки стекла,,Высокая температура в топке,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Камера двойного сгорания,,Да,Забор воздуха в топку,,Да,Вес,,182.0 (кг),Ширина,,854.0 (мм),Высота,,1267.0 (мм),Глубина,,465.0 (мм),Диаметр дымохода,,200.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9004,Каминная топка KRATKI LUCY 12,,,r,31834,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/354/www-kominek-powietrzny-lucy-12-1-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/354/www-kominek-powietrzny-lucy-12-1-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/354/www-kominek-powietrzny-lucy-12-2-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/354/www-kominek-powietrzny-lucy-12-3-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/354/www-kominek-powietrzny-lucy-12-4-960-960-1-0-0.png, https://kaminlux.com.ua//stuff/catalog/17/354/rys-tech-lucy-12.png",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-KRATKI-LUCY-12/,,9004,,'534124,,,,,,,Производитель,,Kratki,Страна производитель,,Польша,Мощность номинальная,,12.0 (кВт),Коэффициент полезного действия,,80.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Тип топки,,Закрытая,Способ открытия дверцы топки,,Боковое открытие,Форма стекла топки,,Прямое,Количество стекол в дверце,,1,Система очистки стекла,,Высокая температура в топке,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Камера двойного сгорания,,Да,Забор воздуха в топку,,Да,Вес,,166.0 (кг),Ширина,,704.0 (мм),Высота,,1267.0 (мм),Глубина,,465.0 (мм),Диаметр дымохода,,200.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9005,Каминная топка Hajduk Smart 1V,,"Каминные топки серии Smart - это современные изделия, оснащенные инновационными системами регулировки. Их вес составляет около 160 кг, а расход топлива составляет 2,9 кг / ч. Характеризуются низким уровнем выбросов пыли и CO 2 . Они были снабжены дверью среднего размера с прямоугольной формой. Долговечные каминные вставки с прочной стальной шамотной конструкцией. Характеризуются отличной эффективностью (85-90%) и высоким диапазоном отопления. Они имеет несколько видов обработки, так что каждый клиент может найти идеальное для себя.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,42750,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3826/21.-Smart-1V.jpg, https://kaminlux.com.ua//stuff/catalog/17/3826/21.-Smart-1V.jpg, https://kaminlux.com.ua//stuff/catalog/17/3826/Smart-1V---karta-techniczna.jpg, https://kaminlux.com.ua//stuff/catalog/17/3826/WykoEczenie-drzwiczek.jpg, https://kaminlux.com.ua//stuff/catalog/17/3826/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-1.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Smart-1V/,,9005,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,7.5 (кВт),Рабочий диапазон нагрева,,3.0-9.0 (кВт),Коэффициент полезного действия,,85.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Боковое открытие,Форма стекла топки,,Прямое,Количество стекол в дверце,,1,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Камера двойного сгорания,,Да,Вес,,160.0 (кг),Ширина,,564.0 (мм),Высота,,1256.0 (мм),Глубина,,532.0 (мм),Диаметр дымохода,,180.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9006,Каминная топка Hajduk Smart 1Vh,,"Каминные топки серии Smart - это современные устройства, соответствующие всем стандартам и требованиям. Мало того, что они отличаются эффективной работой, они также выглядят очень хорошо. Они были доработаны до мельчайших деталей и снабжены инновационными системами регулировки. Работает надежно, потребляет около 2,9 кг топлива в час. Характеризуются низким уровнем выбросов пыли и CO 2 . Долговечные каминные вставки с прочной стальной шамотной конструкцией. Характеризуются отличной эффективностью (85-90%) и высоким диапазоном отопления. Они имеет несколько видов обработки, так что каждый клиент может найти идеальное для себя.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,61702,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3827/22.-Smart-1Vh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3827/22.-Smart-1Vh.jpg, https://kaminlux.com.ua//stuff/catalog/17/3827/Smart-1Vh---karta-techniczna.jpg, https://kaminlux.com.ua//stuff/catalog/17/3827/Sposoby-wykoEczenia-drzwiczek.jpg, https://kaminlux.com.ua//stuff/catalog/17/3827/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-1.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Smart-1Vh/,,9006,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,7.5 (кВт),Рабочий диапазон нагрева,,3.0-9.0 (кВт),Коэффициент полезного действия,,85.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Подъем вверх,Форма стекла топки,,Прямое,Количество стекол в дверце,,1,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Камера двойного сгорания,,Да,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Подключение к дымоходу,,Верхнее,Вес,,180.0 (кг),Ширина,,609.0 (мм),Высота,,1403.0 (мм),Глубина,,560.0 (мм),Диаметр дымохода,,180.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9007,Каминная топка Hajduk Smart 1VT,,"Каминные топки серии Smart - это современные изделия, оснащенные инновационными системами регулировки. Их вес составляет около 160 кг, а расход топлива составляет 2,9 кг / ч. Характеризуются низким уровнем выбросов пыли и CO 2 . Они были снабжены дверью среднего размера с прямоугольной формой. Долговечные каминные вставки с прочной стальной шамотной конструкцией. Характеризуются отличной эффективностью (85-90%) и высоким диапазоном отопления. Они имеет несколько видов обработки, так что каждый клиент может найти идеальное для себя.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,47282,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3828/25.-Smart-1Vt.jpg, https://kaminlux.com.ua//stuff/catalog/17/3828/25.-Smart-1Vt.jpg, https://kaminlux.com.ua//stuff/catalog/17/3828/Kominek-ze-Smartem-1VT-51.jpg, https://kaminlux.com.ua//stuff/catalog/17/3828/Smart-1VT.jpg, https://kaminlux.com.ua//stuff/catalog/17/3828/W.wk.k-v-drzwi-bezramowe.jpg, https://kaminlux.com.ua//stuff/catalog/17/3828/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-1.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Smart-1VT/,,9007,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,7.5 (кВт),Рабочий диапазон нагрева,,3.0-9.0 (кВт),Коэффициент полезного действия,,85.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Боковое открытие,Форма стекла топки,,Прямое,Количество стекол в дверце,,1,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Камера двойного сгорания,,Да,Вес,,160.0 (кг),Ширина,,564.0 (мм),Высота,,1195.0 (мм),Глубина,,534.0 (мм),Диаметр дымохода,,180.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9008,Каминная топка Hajduk Smart 1VTh,,"Каминные топки серии Smart - это современные устройства, соответствующие всем стандартам и требованиям. Мало того, что они отличаются эффективной работой, они также выглядят очень хорошо. Они были доработаны до мельчайших деталей и снабжены инновационными системами регулировки. Работает надежно, потребляет около 2,9 кг топлива в час. Характеризуются низким уровнем выбросов пыли и CO 2 . Долговечные каминные вставки с прочной стальной шамотной конструкцией. Характеризуются отличной эффективностью (85-90%) и высоким диапазоном отопления. Они имеет несколько видов обработки, так что каждый клиент может найти идеальное для себя.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,63812,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3829/26.-Smart-1Vth.jpg, https://kaminlux.com.ua//stuff/catalog/17/3829/26.-Smart-1Vth.jpg, https://kaminlux.com.ua//stuff/catalog/17/3829/Smart-1VTh---karta-techniczna.jpg, https://kaminlux.com.ua//stuff/catalog/17/3829/W.wk.k-v-drzwi-bezramowe.jpg, https://kaminlux.com.ua//stuff/catalog/17/3829/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-1.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Smart-1VTh/,,9008,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,7.5 (кВт),Рабочий диапазон нагрева,,3.0-9.0 (кВт),Коэффициент полезного действия,,85.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Подъем вверх,Форма стекла топки,,Прямое,Количество стекол в дверце,,1,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Камера двойного сгорания,,Да,Вес,,180.0 (кг),Ширина,,609.0 (мм),Высота,,1344.0 (мм),Глубина,,550.0 (мм),Диаметр дымохода,,180.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
9009,Каминная топка Hajduk Smart 2L,,"Каминные топки серии Smart с двумя остеклениями, через которые вы можете наблюдать пылающий огонь. Их средняя эффективность остается на уровне 85%. Расход топлива не превышает 2,9 кг / ч. Они работают очень эффективно и не выделяют слишком много выхлопов. Они имеют современные стальные и шамотные конструкции и многочисленные системы регулировки, которые делают их работу легкой и удобной. Сохранение их чистоты также не вызывает серьезных проблем. Это прочные устройства, которые украсят любой интерьер.Преимущества каминов Hajduk:
- Система самоочистки Clear View помогает сохранить стекло в чистоте;
- Термостойкое керамическое стекло с термостойкостью до 800 ° C;
- Система двух дефлекторов, первый вермикулит, чтобы повысить температуру в печи, второй для расширенной выхлопной дороги, обеспечивает экономию дров и охране окружающей среды;
- Механизм подъема вертикальной двери CLING - легкая и точная работа механизма обеспечивает высокий эксплуатационный комфорт;
- Система подачи и распределения воздуха снаружи Jet Stream Superior с двумя регуляторами скорости сгорания:
- Камин, облицованный шамотом толщина 5 см на стенах и 6,5 см на дне;
- Высокий общий вес камина - большое скопление тепла - долговечность в течение многих лет;
- Структура дверной рамы оптимизирована для жесткости, обеспечивается герметичность дверей при работе при очень высоких температурах;
- Просторная съемная пепельница обеспечивает удобство пользования;
- Топки оборудованы регулируемыми ножками;
- Возможность выбора наиболее подходящих декоративных аксессуаров;
- Каминные вставки Hajduk подходят для домов с рекуперацией;
- Сертификаты соответствия европейскому стандарту EN 13229, второй затягивая порога BImSchV нужно в 2015 году в Германии, Австрии, порог статьи 15 LRV 2015 и Швейцарии, соответствующие продажи Хайдук по всей Европе.",r,48450,,,,,,грн.,,,,шт,,,,"https://kaminlux.com.ua//stuff/catalog/17/3853/27.-Smart-2L.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/27.-Smart-2L.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/Smart-2L-2P---karta-techniczna.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/Kominek-na-bazie-wkladu-Smart-2L-2.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/Kominek-na-bazie-Smart-2L.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/Kominek-na-bazie-wkladu-Smart-2P.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/Sposoby-wykoEczenia-drzwiczek.jpg, https://kaminlux.com.ua//stuff/catalog/17/3853/2017-12-14---etykieta-energetyczna_Hajduk_konwekcyjne-1.jpg",+,,,,,,,,,,https://kaminlux.com.ua/goods.php/Stalnye-topki/Kaminnaya-topka-Hajduk-Smart-2L/,,9009,,'534124,,,,,,,Производитель,,Hajduk,Страна производитель,,Польша,Мощность номинальная,,7.5 (кВт),Рабочий диапазон нагрева,,3.0-9.0 (кВт),Коэффициент полезного действия,,85.0 (%),Виды твердого топлива,,Дрова,Материал топки,,Сталь,Способ открытия дверцы топки,,Боковое открытие,Форма стекла топки,,Угловое,Количество стекол в дверце,,2,Система очистки стекла,,Да,Режим работы топки,,Длительное горение,Водяной контур,,Нет,Наличие шибера,,Нет,Забор воздуха в топку,,Да,Камера двойного сгорания,,Да,Вес,,155.0 (кг),Ширина,,500.0 (мм),Высота,,1271.0 (мм),Глубина,,500.0 (мм),Диаметр дымохода,,180.0 (мм),Зольник,,Да,Инструкция по эксплуатации,,Да,,,,,,,,,,,,,,,,,,
