,Пускозарядное устройство Ultimate Speed ULG 12 B 3 из Германии,,"                                         Зарядно-пусковое устройство Ultimate Speed ​​ULG 12  Germany , привезена из Германии . Очень хорошего качества , новое - в эксплуатации не была , изготовляется только для внутреннего рынка EC .  Зарядное устройство с функцией быстрого запуска ULG 12 B3  Может запустить двигатель с низким уровнем заряда батареи без длительной зарядки  Для аккумуляторов для автомобилей и мотоциклов емкостью 12 В или 6 В и емкостью 8-180 Ач  - Выбор программы для зарядки с оптимальной адаптацией к типу батареи.  - Тестер генератора для тестирования производительности.  - Защищен от обратной полярности, короткого замыкания и перегрузки.  - Интеллектуальное микропроцессорное управление с программой диагностики и контролируемым процессом зарядки.  - Заряжает разряженные батареи  - Длительное соединение для оптимального удержания заряда без образования сульфата.  - ЖК-дисплей для процесса зарядки, значения напряжения и состояния заряда.  - Боковой держатель зарядного кабеля для аккуратного хранения  - Подходит для всех свинцово-гелевых и свинцово-кислотных аккумуляторов.   Весь товар привезен из Германии.   комплект и состояние согласно с фото 100%:   За стоимость доставки несёт ответственность транспортная компания . От себя я гарантирую максимально компактную, соответствующую требованиям транспортной компании по качеству упаковку!                                                                            ",r,1600,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/products/153/img0-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img6-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/153/img1-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=153&limit=100 ,,,,,,9003,
,Электрический донкрат Ultimate Speed UWH 12 A 1из Германии,,"                                         Электрический донкрат - исправный , выставочный вариант , полная комплектация в кейсе .                   Электрическая розетка с подключением 12 В для транспортных средств с собственным весом до 2000 кг.   Напряжение: 12 В  Высота подъема: 12 - 34 см  Максимальная грузоподъемность: 2000 кг  Преимущества применения / особенности   12 В соединительный кабель  дистанционное управление  Ручной рычаг для ручного управления   Комплектация :  1x гнездо WALTER  1x разъем 12 В постоянного тока  1x пульт дистанционного управления  1x ключ для ручного управления  3х предохранитель 15 А                                                                            ",r,1600,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/products/106/img0-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img6-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/products/106/img1-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=106&limit=100 ,,,,,,9003,
,Автомобильный холодильник Crivit CEK 29 A 1,,"Холодильник работает от 12 Вольт и 220 Вольт, легкое б/у, исправный. Два режима - охлаждение и обогрев.Очень вместительный, объем 29 литров. Незаменимая вещь для путешествий. 
",r,2000,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/ha1-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha6-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha8-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ha9-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=188&limit=100 ,,,,,,9003,
,Гидравлический домкрат ULTIMATE SPEED,,"Подъемная сила примерно до 3000 кг / сливной клапан / предохранительный клапанНежное опускание через сливной клапанПрофилированный штамп для надежной посадкиКомпактный подъемник из 2 частейПредохранительный клапан от перегрузкиПрецизионный гидроцилиндр и поршень насосаЧугунная основа для надежной подставкиВинтовая резьба для увеличения высоты подъемаС геометрией штампа на поршне насосаСогласно EN 1494: 2000 + A1: 2008Материал:Основание: чугунПоршень: сталь C45Подъемный стержень: стальная трубаРазмеры:примерно 9,8 х В 18,5 х 10,6 смВысота подъема около 18,5 - 36 смВес:около 2,9 кг (включая подъемную штангу)
",r,800,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/dt-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt6-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/dt1-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=203&limit=100 ,,,,,,9003,
,Зарядное устройство Ultimate Speed ULGD 5.0 A1,,"Импульсное зарядное устройство ULTIMATE SPEED ULGD 5.0 A1 
Аналог зарядного устройства BOSCH C3.
 Зарядное устройство ""Ultimate Speed ULGD 5.0 A1"" является универсальным многорежимным прибором для быстрого заряда кислотных, щелочных, гелевых, кальциевых, серебряных, обслуживаемых и не обслуживаемых аккумуляторов (AGM, Ca/Ca, GEL, MF-VRLA). 
Зарядное устройство автоматически выбирает режим работы 6/12 вольт и зарядный ток. 
Максимальный зарядный ток составляет 5.0 ампера для 12 вольтовых и 0,8 ампера для 6 вольтовых аккумуляторов. 
Имеется 7 типов кривой зарядного тока напряжения (устанавливаются автоматически зарядным устройством) и 4 программы заряда.
 Программа 1 -&gt; 6 вольт мотоциклы, зарядный ток 0,8 ампер, напряжение 7,3 вольт 
Программа 2 -&gt; 12 вольт мотоциклы, зарядный ток 0,8 ампер, 
напряжение 14,4 вольт 
Программа 3 -&gt; 12 вольт автомобили, зарядный ток до 5.0 ампер, напряжение 14,4 вольт
 Программа 4 -&gt; 12 вольт автомобили ускоренный заряд/зима, AGM аккумуляторы, зарядный ток до 5.0 ампер, напряжение 14,7 вольт. 
Поддерживаемая максимальная емкость аккумуляторов: 6 вольт - до 14 ампер-часов; 12 вольт - до 120 ампер-часов.
",r,700,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (1)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (9)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (8)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (7)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (6)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (5)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (4)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (3)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/zu (2)-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=344&limit=100 ,,,,,,9003,
,Компрессор Parkside PKO 270 A5,,"Особенности:
Малошумный двигатель с масляной смазкой
Непрерывно регулируется от 0 до 10 бар
2 манометра с баром и шкалой PSI
Входящие в комплект аксессуары: напорный шланг 10 м
24-литровый котел с пробкой для слива конденсата
Второе подключение для обеспечения бесперебойного питания котла
Легкий в обслуживании, легко очищаемый воздушный фильтр
Технические характеристики:
Подключенная нагрузка: 1,8 кВт (2,45 л.с.)
Емкость всасывания: около 260 л / мин
Рабочее давление: регулируется до 10 бар
Эффективная разрядка при 7 бар: около 103 л / мин
Силовой кабель: около L 3 м
Объем:
Объем котла: около 24 литров
",r,3600,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/ko2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko1-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko6-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ko8-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=274&limit=100 ,,,,,,9003,
,Мойка высокого давления Parkside  PHD 135 B1,,"Идеально подходит для транспортных средств, террас, фасадов.
3 Возможные варианты использования: с вентиляторной струей Vario, турбо-грязевиком или чистящим средством
Эргономичная пистолетная рукоятка, включая безопасность детей
Простая замена насадки с системой быстрого соединения («Quick Connect»)
Энергосберегающая система автозапуска и остановки: работа двигателя только при нажатии на пистолетную рукоятку. Мобильная с большими колесами и откидной рукояткой. 7 м Шланг высокого давления, предотвращающий перекручивание. С удобным кабелем и дополнительными кронштейнами
Прилагаемые принадлежности: 1 пистолетная рукоятка, 1 наконечник, 1 стандартная насадка Vario, 1 турбо грязевая мельница, 1 чистящая насадка с бутылкой для моющего средства (0,6 л), 1 игла для чистки сопла, 1 штуцер для воды с сетчатой ​​вставкой, шланг высокого давления 7 м.
Технические детали:
Подключенная нагрузка: около 1800 Вт
Расход: максимум 420 л / час
Давление: максимум 13,5 МПа (135 бар)
Рабочее давление / номинальное давление: максимум 9 МПа (90 бар)
материал
Корпус мотора: полипропилен (ПП)
Насос: алюминий
Ручка навески: полипропилен (ПП)
Колеса и колпаки: полипропилен (PP)
Шланг: поливинилхлорид (ПВХ)
Пистолет, сопло, копье и соединитель: полиамид (PA) 66 + 30GF
Чистящее средство контейнера: полиэтилен (ПЭ)

Размеры: Ш 26 х В 77,8 х Д 24,6 см
Длина силового кабеля: около 5 м
Шланг высокого давления: около 7 м
вес: около 9 кг (включая аксессуары).

",r,3200,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/m4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m1-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m6-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/m8-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=92&limit=100 ,,,,,,9003,
,Пуско-зарядное устройство Ultimate Speed UPBS 12000 A1,,"Помогает завести автомобиль при сильном разряде аккумулятора!

Powerbank с 2 портами USB и портом micro USB
Встроенный светодиодный фонарик с функцией мигания
Имеет мощный аккумулятор LiFePO4 (литий-фосфат железа)
Высокий КПД - до 90% полезной емкости батареи (по сравнению с обычными литий-ионными элементами с оксидом лития-кобальта (III) (LiCoO2))
Очень долгий срок службы благодаря высокой стабильности
Очень низкий саморазряд
Корпус с противоскользящей поверхностью
Прямой пуск без длительной перезарядки с высоким импульсом тока
Время зарядки аккумулятора: макс. около 13,5 часов
Индикатор уровня заряда - 4 светодиода
Самозапускающаяся система подходит для:
Бензиновые двигатели до макс. Объем 3,0 л
Дизельные двигатели до макс. Объем 2.0 л

Технические характеристики:
Кратковременный максимальный ток при пуске 300 A / 12 Вольт
Входной ток заряда: 1А 5 вольт (Micro USB)

Емкость аккумулятора: 12000 мАч
На выходе 5 вольт (USB): 8000 мАч
На выходе 12 вольт: 3000 мАч
Порты USB: 2 шт, 1A и 2A
",r,900,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (1)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (10)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (2)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (3)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (4)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (5)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (6)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (7)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (8)-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/pzu (9)-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=345&limit=100 ,,,,,,9003,
,Ремонтные автомобильные подставки Ultimate Speed,,﻿Характеристики:Высота подъема: 6 Режимов24/26.7/29.5/32.2/35/37.7 смМаксимальная нагрузка: 2000 кгМатериал изделия: СтальВ комплекте 2 штСостояние: НовоеКомплектация: на Фото,r,700,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/ap1-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap8-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap2-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap3-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap4-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap5-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap7-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/ap6-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=310&limit=100 ,,,,,,9003,
,"Шланг для компрессора, 10 м, Parkside PDS 10 A1",,"Шланг для компрессора, 10 м ParksideПринадлежность: ДомСостав: металл/резинаЦвет: СинийСтрана производства: ГерманияОписание: шланг для компрессора. 10 м, 6,3 мм.
",r,400,,грн.,шт,,,,,"https://korvet-m.com.ua/image/cache/catalog/Tovar/q-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/w-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/e-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/r-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/t-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/y-500x500.jpg, https://korvet-m.com.ua/image/cache/catalog/Tovar/u-500x500.jpg",+,,,,,,,,,,,,,,,,,,https://korvet-m.com.ua/index.php?route=product/product&path=74_76_77&product_id=64&limit=100 ,,,,,,9003,
