6.350.133,"Бонета Рица ВХНо-1,875/1,5","<div class=""catalog_fulldesc"">
<div id=""news-id-598"" style=""display:inline;"">Бонета Рица ВХНо-1,875/1,5<br/><br/>Выпускаемые ""Марихолодмаш"" островные низкотемпературные холодильные витрины (бонеты) Рица, предназначены для демонстрации, кратковременного хранения и продажи предварительно замороженных пищевых продуктов на предприятиях торговли с выносным холодообеспечением. <br/><br/>Современный супермаркет трудно представить без одной или нескольких линий бонет. Этот тип холодильного оборудования чрезвычайно популярен и удобен для покупателей и для продавцов.<br/><br/>Конструкция изделий позволяет формировать непрерывную линию оборудования общего дизайна любой длины, с возможностью стыковки без боковых панелей, для этого предусмотрен комплект крепежа. <br/><br/>В качестве опции может быть предложена суперструктура (надстройка) с полками, люминесцентной подсветкой и ценникодержателями. <br/><br/>Холодильные витрины обеспечивают хранение продуктов с температурой не выше минус 18°С, при температуре окружающего воздуха от 12 до 25°С и относительной влажности от 80 до 60% соответственно. Номинальное напряжение питающей сети 220В (~ 50 Гц), род тока – переменный, однофазный.<br/><br/>Корпус и боковины, изготовленные из оцинкованной стали, покрытой полиэфирной эмалью, имеют пенополиуретановую теплоизоляцию. <br/><br/>Изделия укомплектованы решётками для выкладки товара и разделительными решётками - из стальной оцинкованной проволоки, покрытой порошковой краской. Материалы, контактирующие с пищевыми продуктами и средами, нейтральны. <br/><br/>Бонеты имеют воздушную завесу, препятствующую перемешиванию теплого воздуха помещения и холодного – витрин, и рулонные теплоизолирующие ночные шторки, снижающие энергопотребление.<br/><br/>Холодильное установки оснащены электронным блоком управления с индикацией температуры и режимом автоматического оттаивания, а также вентиляторами обдува испарителя (предусмотрена возможность установки энергосберегающих вентиляторов). Дополнительно в комплект поставки могут войти терморегулирующие вентили, соленоидные клапаны. <br/><br/>Оптимальная глубина выкладки увеличивает отдачу с каждого квадратного метра торговой площади, и обеспечивает легкий доступ к товару.</div> </div>",r,40423,UAH,шт,http://www.mariholod.com/uploads/posts/2014-06/1401696609_rica-vhno-25.jpg,+,http://www.mariholod.com/catalog-new/hb/598-boneta-rica-vhno-187515.html,Бонеты,Наименование,,"Бонета Рица ВХНо-1,875/1,5",Глубина выкладки,,300 мм,Площадь выкладки (м2) ,,-,Полезный объем выкладки (м)  ,,"0,71",Потребление электроэнергии в сутки (кВт),,"5,9","Холодопроизводительность, (Вт)",,1260,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"2,4",Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Мощность оттаивания,,3330,Напряжение,,220,"Номинальный ток, A",,"2,74","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,1875х1575х880,Габариты в упаковке (ДхГхВ),,2240х1700х1100,"Нетто, не более кг",,-,"Брутто, не более кг",,300+100 (надстройка),,,,,,,,,,,,,,,
6.350.130,"Бонета Рица ВХНо-2,5/1,5","<div class=""catalog_fulldesc"">
<div id=""news-id-602"" style=""display:inline;"">Бонета Рица ВХНо-2,5/1,5<br/><br/>Выпускаемые ""Марихолодмаш"" островные низкотемпературные холодильные витрины (бонеты) Рица, предназначены для демонстрации, кратковременного хранения и продажи предварительно замороженных пищевых продуктов на предприятиях торговли с выносным холодообеспечением. <br/><br/>Современный супермаркет трудно представить без одной или нескольких линий бонет. Этот тип холодильного оборудования чрезвычайно популярен и удобен для покупателей и для продавцов.<br/><br/>Конструкция изделий позволяет формировать непрерывную линию оборудования общего дизайна любой длины, с возможностью стыковки без боковых панелей, для этого предусмотрен комплект крепежа. <br/><br/>В качестве опции может быть предложена суперструктура (надстройка) с полками, люминесцентной подсветкой и ценникодержателями. <br/><br/>Холодильные витрины обеспечивают хранение продуктов с температурой не выше минус 18°С, при температуре окружающего воздуха от 12 до 25°С и относительной влажности от 80 до 60% соответственно. Номинальное напряжение питающей сети 220В (~ 50 Гц), род тока – переменный, однофазный.<br/><br/>Корпус и боковины, изготовленные из оцинкованной стали, покрытой полиэфирной эмалью, имеют пенополиуретановую теплоизоляцию. <br/><br/>Изделия укомплектованы решётками для выкладки товара и разделительными решётками - из стальной оцинкованной проволоки, покрытой порошковой краской. Материалы, контактирующие с пищевыми продуктами и средами, нейтральны. <br/><br/>Бонеты имеют воздушную завесу, препятствующую перемешиванию теплого воздуха помещения и холодного – витрин, и рулонные теплоизолирующие ночные шторки, снижающие энергопотребление.<br/><br/>Холодильное установки оснащены электронным блоком управления с индикацией температуры и режимом автоматического оттаивания, а также вентиляторами обдува испарителя (предусмотрена возможность установки энергосберегающих вентиляторов). Дополнительно в комплект поставки могут войти терморегулирующие вентили, соленоидные клапаны. <br/><br/>Оптимальная глубина выкладки увеличивает отдачу с каждого квадратного метра торговой площади, и обеспечивает легкий доступ к товару.</div> </div>",r,53675,UAH,шт,http://www.mariholod.com/uploads/posts/2014-06/1401696802_rica-vhno-25.jpg,+,http://www.mariholod.com/catalog-new/hb/602-boneta-rica-vhno-2515.html,Бонеты,Наименование,,"Бонета Рица ВХНо-2,5/1,5",Глубина выкладки,,300 мм,Площадь выкладки (м2) ,,-,Полезный объем выкладки (м)  ,,"0,97",Потребление электроэнергии в сутки (кВт),,"7,8","Холодопроизводительность, (Вт)",,1640,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"3,3",Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Мощность оттаивания,,3382,Напряжение,,220,"Номинальный ток, A",,"3,13","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,2500х1575х880,Габариты в упаковке (ДхГхВ),,3000х1700х1100,"Нетто, не более кг",,-,"Брутто, не более кг",,400+130 (надстройка),,,,,,,,,,,,,,,
6.350.128,"Бонета Рица ВХНо-2,5/1,0","<div class=""catalog_fulldesc"">
<div id=""news-id-600"" style=""display:inline;"">Бонета Рица ВХНо-2,5/1,0<br/><br/>Выпускаемые ""Марихолодмаш"" островные низкотемпературные холодильные витрины (бонеты) Рица, предназначены для демонстрации, кратковременного хранения и продажи предварительно замороженных пищевых продуктов на предприятиях торговли с выносным холодообеспечением. <br/><br/>Современный супермаркет трудно представить без одной или нескольких линий бонет. Этот тип холодильного оборудования чрезвычайно популярен и удобен для покупателей и для продавцов.<br/><br/>Конструкция изделий позволяет формировать непрерывную линию оборудования общего дизайна любой длины, с возможностью стыковки без боковых панелей, для этого предусмотрен комплект крепежа. <br/><br/>В качестве опции может быть предложена суперструктура (надстройка) с полками, люминесцентной подсветкой и ценникодержателями. <br/><br/>Холодильные витрины обеспечивают хранение продуктов с температурой не выше минус 18°С, при температуре окружающего воздуха от 12 до 25°С и относительной влажности от 80 до 60% соответственно. Номинальное напряжение питающей сети 220В (~ 50 Гц), род тока – переменный, однофазный.<br/><br/>Корпус и боковины, изготовленные из оцинкованной стали, покрытой полиэфирной эмалью, имеют пенополиуретановую теплоизоляцию. <br/><br/>Изделия укомплектованы решётками для выкладки товара и разделительными решётками - из стальной оцинкованной проволоки, покрытой порошковой краской. Материалы, контактирующие с пищевыми продуктами и средами, нейтральны. <br/><br/>Бонеты имеют воздушную завесу, препятствующую перемешиванию теплого воздуха помещения и холодного – витрин, и рулонные теплоизолирующие ночные шторки, снижающие энергопотребление.<br/><br/>Холодильное установки оснащены электронным блоком управления с индикацией температуры и режимом автоматического оттаивания, а также вентиляторами обдува испарителя (предусмотрена возможность установки энергосберегающих вентиляторов). Дополнительно в комплект поставки могут войти терморегулирующие вентили, соленоидные клапаны. <br/><br/>Оптимальная глубина выкладки увеличивает отдачу с каждого квадратного метра торговой площади, и обеспечивает легкий доступ к товару.</div> </div>",r,48498,UAH,шт,http://www.mariholod.com/uploads/posts/2014-06/1401696580_rica-vhno-25.jpg,+,http://www.mariholod.com/catalog-new/hb/600-boneta-rica-vhno-2510.html,Бонеты,Наименование,,"Бонета Рица ВХНо-2,5/1,0",Глубина выкладки,,280 мм,Площадь выкладки (м2) ,,-,Полезный объем выкладки (м)  ,,"0,56",Потребление электроэнергии в сутки (кВт),,"7,6","Холодопроизводительность, (Вт)",,1120,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,2,Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Мощность оттаивания,,3352,Напряжение,,220,"Номинальный ток, A",,3,"Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,2500х1075х880,Габариты в упаковке (ДхГхВ),,3000х1200х1100,"Нетто, не более кг",,-,"Брутто, не более кг",,300+130 (надстройка),,,,,,,,,,,,,,,
6.350.127,"Бонета Рица ВХНо-1,875/1,0","<div class=""catalog_fulldesc"">
<div id=""news-id-597"" style=""display:inline;"">Бонета Рица ВХНо-1,875/1,0<br/><br/>Выпускаемые ""Марихолодмаш"" островные низкотемпературные холодильные витрины (бонеты) Рица, предназначены для демонстрации, кратковременного хранения и продажи предварительно замороженных пищевых продуктов на предприятиях торговли с выносным холодообеспечением. <br/><br/>Современный супермаркет трудно представить без одной или нескольких линий бонет. Этот тип холодильного оборудования чрезвычайно популярен и удобен для покупателей и для продавцов.<br/><br/>Конструкция изделий позволяет формировать непрерывную линию оборудования общего дизайна любой длины, с возможностью стыковки без боковых панелей, для этого предусмотрен комплект крепежа. <br/><br/>В качестве опции может быть предложена суперструктура (надстройка) с полками, люминесцентной подсветкой и ценникодержателями. <br/><br/>Холодильные витрины обеспечивают хранение продуктов с температурой не выше минус 18°С, при температуре окружающего воздуха от 12 до 25°С и относительной влажности от 80 до 60% соответственно. Номинальное напряжение питающей сети 220В (~ 50 Гц), род тока – переменный, однофазный.<br/><br/>Корпус и боковины, изготовленные из оцинкованной стали, покрытой полиэфирной эмалью, имеют пенополиуретановую теплоизоляцию. <br/><br/>Изделия укомплектованы решётками для выкладки товара и разделительными решётками - из стальной оцинкованной проволоки, покрытой порошковой краской. Материалы, контактирующие с пищевыми продуктами и средами, нейтральны. <br/><br/>Бонеты имеют воздушную завесу, препятствующую перемешиванию теплого воздуха помещения и холодного – витрин, и рулонные теплоизолирующие ночные шторки, снижающие энергопотребление.<br/><br/>Холодильное установки оснащены электронным блоком управления с индикацией температуры и режимом автоматического оттаивания, а также вентиляторами обдува испарителя (предусмотрена возможность установки энергосберегающих вентиляторов). Дополнительно в комплект поставки могут войти терморегулирующие вентили, соленоидные клапаны. <br/><br/>Оптимальная глубина выкладки увеличивает отдачу с каждого квадратного метра торговой площади, и обеспечивает легкий доступ к товару.</div> </div>",r,38416,UAH,шт,http://www.mariholod.com/uploads/posts/2014-06/1401696441_rica-vhno-25.jpg,+,http://www.mariholod.com/catalog-new/hb/597-boneta-rica-vhno-187510.html,Бонеты,Наименование,,"Бонета Рица ВХНо-1,875/1,0",Глубина выкладки,,280 мм,Площадь выкладки (м2) ,,-,Полезный объем выкладки (м)  ,,"0,42",Потребление электроэнергии в сутки (кВт),,"5,7","Холодопроизводительность, (Вт)",,840,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"1,5",Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Напряжение,,220,"Номинальный ток, A",,"2,61","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,1875х1075х880,Габариты в упаковке (ДхГхВ),,2240х1200х1100,"Нетто, не более кг",,-,"Брутто, не более кг",,200+100 (надстройка),,,,,,,,,,,,,,,,,,
6.325.103,Бонета Калипсо ВХНо-торцевая,"<div class=""catalog_fulldesc"">
<div id=""news-id-1272"" style=""display:inline;"">Бонета Калипсо ВХНо-торцевая</div> </div>",r,216023,UAH,шт,http://www.mariholod.com/uploads/posts/2016-05/1463139579_kolipso.jpg,+,http://www.mariholod.com/catalog-new/hb/1272-boneta-kalipso-vhno-torcevaya.html,Бонеты,Наименование,,Бонета Калипсо ВХНо-торцевая,Глубина выкладки,,394 мм,Площадь выкладки (м2) ,,"1,5","Холодопроизводительность, (Вт)",,560,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"1,5",Тип охлаждения,,Статическое,Способ оттаивания,,ТЭН,Напряжение,,220,"Номинальный ток, A",,"2,06","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,1980х1060х1110,Габариты в упаковке (ДхГхВ),,2200х1300х1350,"Нетто, не более кг",,270,"Брутто, не более кг",,370,,,,,,,,,,,,,,,,,,,,,,,,
6.325.102,Бонета Калипсо ВХНо-3750,"<div class=""catalog_fulldesc"">
<div id=""news-id-1271"" style=""display:inline;"">Бонета Калипсо ВХНо-3750</div> </div>",r,327646,UAH,шт,http://www.mariholod.com/uploads/posts/2016-05/1463139579_kolipso.jpg,+,http://www.mariholod.com/catalog-new/hb/1271-boneta-kalipso-vhno-3750.html,Бонеты,Наименование,,Бонета Калипсо ВХНо-3750,Глубина выкладки,,394 мм,Площадь выкладки (м2) ,,"6,3","Холодопроизводительность, (Вт)",,1710,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"6,3",Тип охлаждения,,Статическое,Способ оттаивания,,ТЭН,Мощность оттаивания,,5400,Напряжение,,380,"Номинальный ток, A",,"3,67","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,3750х1980х1110,Габариты в упаковке (ДхГхВ),,4150х2200х1350,"Нетто, не более кг",,700,"Брутто, не более кг",,950,,,,,,,,,,,,,,,,,,,,,
6.325.101,Бонета Калипсо ВХНо-2500,"<div class=""catalog_fulldesc"">
<div id=""news-id-1228"" style=""display:inline;"">Бонета Калипсо ВХНо-2500</div> </div>",r,237969,UAH,шт,http://www.mariholod.com/uploads/posts/2016-05/1463139579_kolipso.jpg,+,http://www.mariholod.com/catalog-new/hb/1228-boneta-kolipso-vhno-2500.html,Бонеты,Наименование,,Бонета Калипсо ВХНо-2500,Глубина выкладки,,394 мм,Площадь выкладки (м2) ,,"4,2+3,4",Полезный объем выкладки (м)  ,,"1,66","Холодопроизводительность, (Вт)",,1140,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"4,2",Тип охлаждения,,Статическое,Способ оттаивания,,ТЭН,Мощность оттаивания,,3600,Напряжение,,380,"Номинальный ток, A",,"3,0","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,"2500х1980х1110 , 1520",Габариты в упаковке (ДхГхВ),,2900х2200х1350,"Нетто, не более кг",,520,"Брутто, не более кг",,700,,,,,,,,,,,,,,,,,,
4.325.031-01,"Бонета Мальта ВХСо-1,5","<div class=""catalog_fulldesc"">
<div id=""news-id-1315"" style=""display:inline;"">Бонета Мальта ВХСо-1,5</div> </div>",r,52556,UAH,шт,http://www.mariholod.com/uploads/posts/2017-01/1485852916_malta.jpg,+,http://www.mariholod.com/catalog-new/hb/1315-boneta-malta-vhno-15.html,Бонеты,Наименование,,"Бонета Мальта ВХСо-1,5",Глубина выкладки,,- мм,Площадь выкладки (м2) ,,"1,2",Потребление электроэнергии в сутки (кВт),,5,Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"1,2",Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Напряжение,,220,"Номинальный ток, A",,"3,9","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,1500х1016х930,Габариты в упаковке (ДхГхВ),,1700х1200х1130,"Нетто, не более кг",,115,"Брутто, не более кг",,170,,,,,,,,,,,,,,,,,,,,,,,,
4.325.031,"Бонета Мальта ВХСо-2,5","<div class=""catalog_fulldesc"">
<div id=""news-id-1316"" style=""display:inline;"">Бонета Мальта ВХСо-2,5</div> </div>",r,56486,UAH,шт,http://www.mariholod.com/uploads/posts/2017-01/1485852916_malta.jpg,+,http://www.mariholod.com/catalog-new/hb/1316-boneta-malta-vhno-25.html,Бонеты,Наименование,,"Бонета Мальта ВХСо-2,5",Глубина выкладки,,- мм,Площадь выкладки (м2) ,,"2,0",Потребление электроэнергии в сутки (кВт),,"5,5",Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"2,0",Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Напряжение,,220,"Номинальный ток, A",,"4,1","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,2500х1016х930,Габариты в упаковке (ДхГхВ),,2700х1200х1130,"Нетто, не более кг",,185,"Брутто, не более кг",,260,,,,,,,,,,,,,,,,,,,,,,,,
4.325.005-02,"Бонета Купец ВХНо-3,6","<div class=""catalog_fulldesc"">
<div id=""news-id-543"" style=""display:inline;"">Бонета Купец ВХНо-3,6</div> </div>",r,83733,UAH,шт,http://www.mariholod.com/uploads/posts/2014-06/1401969377_kupec-vhno-18.jpg,+,http://www.mariholod.com/catalog-new/hb/543-boneta-vhno-36-kupec.html,Бонеты,Наименование,,"Бонета Купец ВХНо-3,6",Глубина выкладки,,205 мм,Полезный объем выкладки (м)  ,,"0,6",Потребление электроэнергии в сутки (кВт),,"56,8",Температура окружающей среды,,+12…+25,Охлаждаемая площадь поддонов и полок для выкладки продуктов,,"2,92",Тип охлаждения,,Динамическое,Способ оттаивания,,ТЭН,Напряжение,,220 В,"Номинальный ток, A",,"9,93","Номинальная мощность ламп, Вт",,-,Габариты без упаковки (ДхГхВ),,3744х1015х995,Габариты в упаковке (ДхГхВ),,2110х1160х1170 два ящика,"Нетто, не более кг",,305,"Брутто, не более кг",,394,,,,,,,,,,,,,,,,,,,,,,,,
